fda_recall_number,event_id,brand_firm,product_description,reason,classification,status,recall_date,distribution,severity,product_type,brand_match_level,evidence_status,source_type,source_url,dedup_key,accessed_date
F-1753-2019,83178,"C & S Wholesale Grocers, Inc.","FRESHPET SELECT FRESH FROM THE KITCHEN - REFRIGERATED DOG FOOD - 1.75LB, UPC:2797501110",Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,Class II,Terminated,2019-06-17,"Two Target Stores 1. 98 Veterans Memorial Highway in Commack, New York 2. 160 North Research Place in Central Islip, New York",watch,Food,unmatched,verified_official,openfda,https://api.fda.gov/food/enforcement.json?search=recall_number:%22F-1753-2019%22,rn:F-1753-2019,2026-06-26
F-1754-2019,83178,"C & S Wholesale Grocers, Inc.","FRESHPET SELECT GRAIN FREE SMALL - REFRIGERATED DOG FOOD - 1LB, UPC: 2797501204",Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,Class II,Terminated,2019-06-17,"Two Target Stores 1. 98 Veterans Memorial Highway in Commack, New York 2. 160 North Research Place in Central Islip, New York",watch,Food,unmatched,verified_official,openfda,https://api.fda.gov/food/enforcement.json?search=recall_number:%22F-1754-2019%22,rn:F-1754-2019,2026-06-26
